Rank,,Name,Age,Country,Points,Laver Cup Team
1,,Novak Djoković,35,SRB,7160,Europe
2,,Carlos Alcaraz,19,ESP,6430,Europe
3,,Stefanos Tsitsipas,24,GRE,5690,Europe
4,,Casper Ruud,24,NOR,4970,Europe
5,,Daniil Medvedev,27,RUS,4160,Europe
6,,Félix Auger-Aliassime,22,CAN,3415,World
7,,Andrey Rublev,25,RUS,3390,Europe
8,,Holger Rune,19,DEN,3290,Europe
9,,Taylor Fritz,25,USA,2895,World
10,,Jannik Sinner,21,ITA,2755,Europe
11,,Cameron Norrie,27,GBR,2735,Europe
12,,Rafael Nadal,36,ESP,2715,Europe
13,,Hubert Hurkacz,26,POL,2715,Europe
14,,Frances Tiafoe,25,USA,2630,World
15,,Karen Khachanov,26,RUS,2505,Europe
16,,Alexander Zverev,25,GER,2410,Europe
17,,Pablo Carreño Busta,31,ESP,2185,Europe
18,,Alex de Minaur,24,AUS,2050,World
19,,Tommy Paul,25,USA,2010,World
20,,Borna Ćorić,26,CRO,1890,Europe
21,,Lorenzo Musetti,21,ITA,1840,Europe
22,,Matteo Berrettini,26,ITA,1742,Europe
23,,Marin Čilić,34,CRO,1690,Europe
24,,Nick Kyrgios,27,AUS,1555,World
25,,Alejandro Davidovich Fokina,23,ESP,1545,Europe
26,,Sebastian Korda,22,USA,1480,World
27,,Grigor Dimitrov,31,BUL,1450,Europe
28,,Roberto Bautista Agut,34,ESP,1395,Europe
29,,Daniel Evans,32,GBR,1345,Europe
30,,Denis Shapovalov,23,CAN,1345,World
31,,Botic van de Zandschulp,27,NED,1170,Europe
32,,Sebastián Báez,22,ARG,1170,World
33,,Yoshihito Nishioka,27,JPN,1093,World
34,,Tallon Griekspoor,26,NED,1059,Europe
35,,Maxime Cressy,25,USA,1016,World
36,,Ben Shelton,20,USA,999,World
37,,Diego Schwartzman,30,ARG,990,World
38,,Francisco Cerúndolo,24,ARG,970,World
39,,Richard Gasquet,36,FRA,960,Europe
40,,Bernabé Zapata Miralles,26,ESP,952,Europe
41,,Miomir Kecmanović,23,SRB,950,Europe
42,,Jiří Lehečka,21,CZE,943,Europe
43,,Brandon Nakashima,21,USA,927,World
44,,David Goffin,32,BEL,925,Europe
45,,John Isner,37,USA,915,World
46,,Marc-Andrea Hüsler,26,SUI,913,Europe
47,,Benjamin Bonzi,26,FRA,889,Europe
48,,Albert Ramos Viñolas,35,ESP,880,Europe
49,,Mikael Ymer,24,SWE,880,Europe
50,,J.J. Wolf,24,USA,875,World
51,,Alexander Bublik,25,KAZ,865,Europe
52,,Andy Murray,35,GBR,860,Europe
53,,Laslo Djere,27,SRB,860,Europe
54,,Nicolás Jarry,27,CHI,859,World
55,,Emil Ruusuvuori,23,FIN,851,Europe
56,,Alex Molčan,25,SVK,850,Europe
57,,Jack Draper,21,GBR,839,Europe
58,,Lorenzo Sonego,27,ITA,835,Europe
59,,Mackenzie McDonald,27,USA,830,World
60,,Yibing Wu,23,CHN,828,World
61,,Adrian Mannarino,34,FRA,826,Europe
62,,Grégoire Barrère,29,FRA,803,Europe
63,,Constant Lestienne,30,FRA,798,Europe
64,,Federico Coria,31,ARG,795,World
65,,Nuno Borges,26,POR,783,Europe
66,,Corentin Moutet,23,FRA,780,Europe
67,,Pedro Cachín,27,ARG,757,World
68,,Marcos Giron,29,USA,746,World
69,,Jenson Brooksby,22,USA,740,World
70,,Jason Kubler,29,AUS,733,World
71,,Márton Fucsovics,31,HUN,732,Europe
72,,Dušan Lajović,32,SRB,728,Europe
73,,Arthur Rinderknech,27,FRA,721,Europe
74,,Soonwoo Kwon,25,KOR,719,World
75,,Filip Krajinović,31,SRB,715,Europe
76,,Tomás Martín Etcheverry,23,ARG,714,World
77,,Ilya Ivashka,29,BLR,706,Europe
78,,Ugo Humbert,24,FRA,698,Europe
79,,Cristian Garín,26,CHI,688,World
80,,Jaume Munar,25,ESP,675,Europe
81,,Thiago Monteiro,28,BRA,674,World
82,,Jordan Thompson,28,AUS,668,World
83,,Roberto Carballés Baena,29,ESP,660,Europe
84,,Christopher O'Connell,28,AUS,657,World
85,,Stan Wawrinka,37,SUI,647,Europe
86,,Oscar Otte,29,GER,641,Europe
87,,Michael Mmoh,25,USA,633,World
88,,Zhizhen Zhang,26,CHN,625,World
89,,Alexei Popyrin,23,AUS,611,World
90,,Quentin Halys,26,FRA,611,Europe
91,,Daniel Elahi Galán,26,COL,610,World
92,,Marco Cecchinato,30,ITA,605,Europe
93,,Fabio Fognini,35,ITA,593,Europe
94,,Max Purcell,24,AUS,586,World
95,,Emilio Gómez,31,ECU,577,World
96,,Juan Pablo Varillas,27,PER,572,World
97,,Taro Daniel,30,JPN,567,World
98,,Jan Lennard Struff,32,GER,559,Europe
99,,Roman Safiullin,25,RUS,557,Europe
100,,Aleksandar Kovačević,24,USA,553,World
101,,Alexander Shevchenko,22,RUS,547,Europe
102,,Hugo Gaston,22,FRA,535,Europe
103,,Radu Albot,33,MDA,523,Europe
104,,Thanasi Kokkinakis,26,AUS,519,World
105,,Luca Van Assche,18,FRA,517,Europe
106,,Daniel Altmaier,24,GER,515,Europe
107,,Dominic Thiem,29,AUT,510,Europe
108,,Hugo Dellien,29,BOL,506,World
109,,Facundo Bagnis,33,ARG,505,World
110,,Pavel Kotov,24,RUS,502,Europe
111,,James Duckworth,31,AUS,502,World
112,,Yosuke Watanuki,24,JPN,500,World
113,,Christopher Eubanks,26,USA,497,World
114,,Francesco Passaro,22,ITA,497,Europe
115,,Matteo Arnaldi,22,ITA,496,Europe
116,,Borna Gojo,25,CRO,495,Europe
117,,Arthur Fils,18,FRA,495,Europe
118,,Juan Manuel Cerúndolo,21,ARG,492,World
119,,Giulio Zeppieri,21,ITA,478,Europe
