Rank,Career High,Name,Age,Country,Points,Laver Cup Team
1,CH,Carlos Alcaraz,19,ESP,7075,Europe
2,CH,Casper Ruud,23,NOR,5270,Europe
3,1,Rafael Nadal,36,ESP,5520,Europe
4,1,Daniil Medvedev,26,RUS,3815,Europe
5,2,Alexander Zverev,25,GER,5040,Europe
6,3,Stefanos Tsitsipas,24,GRE,4810,Europe
7,1,Novak Djoković,35,SRB,2870,Europe
8,CH,Cameron Norrie,27,GBR,3725,Europe
9,5,Andrey Rublev,24,RUS,3720,Europe
10,9,Jannik Sinner,21,ITA,2880,Europe
11,9,Hubert Hurkacz,25,POL,3195,Europe
12,CH,Taylor Fritz,24,USA,3505,World
13,8,Félix Auger-Aliassime,22,CAN,3855,World
14,10,Pablo Carreño Busta,31,ESP,2360,Europe
15,6,Matteo Berrettini,26,ITA,2820,Europe
16,3,Marin Čilić,33,CRO,2690,Europe
17,8,Diego Schwartzman,30,ARG,2110,World
18,8,Karen Khachanov,26,RUS,1610,Europe
19,CH,Frances Tiafoe,24,USA,1845,World
20,13,Nick Kyrgios,27,AUS,1950,World
21,9,Roberto Bautista Agut,34,ESP,1675,Europe
22,15,Alex de Minaur,23,AUS,1745,World
23,3,Grigor Dimitrov,31,BUL,2155,Europe
24,10,Denis Shapovalov,23,CAN,1640,World
25,22,Daniel Evans,32,GBR,1445,Europe
26,12,Borna Ćorić,25,CRO,1405,Europe
27,24,Francisco Cerúndolo,24,ARG,1394,World
28, NCH  (29) ,Tommy Paul,25,USA,1375,World
29,27,Alejandro Davidovich Fokina,23,ESP,1370,Europe
30,CH,Lorenzo Musetti,20,ITA,1357,Europe
31,26,Holger Rune,19,DEN,1336,Europe
32,30,Miomir Kecmanović,23,SRB,1270,Europe
33,6,Gaël Monfils,36,FRA,1255,Europe
34,31,Maxime Cressy,25,USA,1253,World
35,22,Botic van de Zandschulp,26,NED,1233,Europe
36,31,Sebastián Báez,21,ARG,1205,World
37,17,Reilly Opelka,25,USA,1185,World
38,16,Nikoloz Basilashvili,30,GEO,1185,Europe
39,14,Aslan Karatsev,29,RUS,1130,Europe
40,17,Albert Ramos Viñolas,34,ESP,1085,Europe
41,26,Filip Krajinović,30,SRB,1010,Europe
42,8,John Isner,37,USA,1005,World
43,30,Sebastian Korda,22,USA,985,World
44,33,Jenson Brooksby,21,USA,982,World
45,1,Andy Murray,35,GBR,975,Europe
46,38,Alex Molčan,24,SVK,971,Europe
47,46,Jack Draper,20,GBR,961,Europe
48,22,Adrian Mannarino,34,FRA,956,Europe
49,44,Tallon Griekspoor,26,NED,955,Europe
50,30,Alexander Bublik,25,KAZ,940,Europe
51,42,Emil Ruusuvuori,23,FIN,896,Europe
52,36,Oscar Otte,29,GER,875,Europe
53,48,Yoshihito Nishioka,26,JPN,827,World
54,21,Lorenzo Sonego,27,ITA,825,Europe
55,9,Fabio Fognini,35,ITA,817,Europe
56,48,Arthur Rinderknech,27,FRA,817,Europe
57,52,Jaume Munar,25,ESP,814,Europe
58,57,Pedro Cachín,27,ARG,813,World
59,28,João Sousa,33,POR,801,Europe
60,49,Marcos Giron,29,USA,791,World
61,44,Benjamin Bonzi,26,FRA,781,Europe
62, NCH  (64) ,Corentin Moutet,23,FRA,771,Europe
63,7,David Goffin,31,BEL,770,Europe
64,49,Brandon Nakashima,21,USA,769,World
65,64,Alejandro Tabilo,25,CHI,761,World
66,40,Pedro Martínez,25,ESP,745,Europe
67, NCH  (75) ,Constant Lestienne,30,FRA,722,Europe
68, NCH  (75) ,Daniel Elahi Galán,26,COL,716,World
69,52,Federico Coria,30,ARG,714,World
70,62,Thiago Monteiro,28,BRA,713,World
71,40,Ilya Ivashka,28,BLR,705,Europe
72,27,Laslo Djere,27,SRB,702,Europe
73,71,Roberto Carballés Baena,29,ESP,698,Europe
74,59,Jiří Lehečka,20,CZE,693,Europe
75,72,J.J. Wolf,23,USA,683,World
76,35,Jiří Veselý,29,CZE,674,Europe
77,64,Hugo Dellien,29,BOL,671,World
78,74,Bernabé Zapata Miralles,25,ESP,654,Europe
79,17,Cristian Garín,26,CHI,640,World
80,69,Thanasi Kokkinakis,26,AUS,640,World
81,58,Hugo Gaston,21,FRA,638,Europe
82,48,Mackenzie McDonald,27,USA,635,World
83,7,Richard Gasquet,36,FRA,630,Europe
84,71,Quentin Halys,25,FRA,621,Europe
85,72,Tomás Martín Etcheverry,23,ARG,601,World
86,83,Chun Hsin Tseng,21,TPE,598,World
87,23,Dušan Lajović,32,SRB,596,Europe
88,31,Márton Fucsovics,30,HUN,586,Europe
89,59,Alexei Popyrin,23,AUS,584,World
90,39,Radu Albot,32,MDA,577,Europe
91,43,Jordan Thompson,28,AUS,570,World
92,64,Taro Daniel,29,JPN,569,World
93,CH,Nuno Borges,25,POR,568,Europe
94,67,Mikael Ymer,24,SWE,565,Europe
95,85,Marc-Andrea Hüsler,26,SUI,563,Europe
96,95,Hugo Grenier,26,FRA,554,Europe
97,53,Daniel Altmaier,24,GER,554,Europe
98,80,Norbert Gombos,32,SVK,540,Europe
99,91,Jason Kubler,29,AUS,538,World
100,53,Denis Kudla,30,USA,536,World
101,46,James Duckworth,30,AUS,532,World
102, NCH (105),Pavel Kotov,23,RUS,513,Europe
103,97,Roman Safiullin,25,RUS,506,Europe
104,97,Juan Pablo Varillas,26,PER,493,World
105, NCH (109),Tomáš Macháč,21,CZE,492,Europe
106, NCH (112),Emilio Gómez,30,ECU,482,World
107,33,John Millman,33,AUS,481,World
108,101,Tim van Rijthoven,25,NED,481,Europe
109,25,Ugo Humbert,24,FRA,480,Europe
110,38,Nicolás Jarry,26,CHI,479,World
111,55,Facundo Bagnis,32,ARG,477,World
112,33,Federico Delbonis,31,ARG,476,World
113,85,Dennis Novak,29,AUT,473,Europe
114,32,Pablo Andújar,36,ESP,468,Europe
115,7,Fernando Verdasco,38,ESP,464,Europe
116,21,Steve Johnson,32,USA,463,World
117,96,Camilo Ugo Carabelli,23,ARG,462,World
118,97,Christopher O'Connell,28,AUS,459,World
119,75,Kamil Majchrzak,26,POL,457,Europe
120,50,Ričardas Berankis,32,LTU,446,Europe
121,52,Soonwoo Kwon,24,KOR,441,World
122, NCH (125),Francesco Passaro,21,ITA,441,Europe
123,122,Zhizhen Zhang,25,CHN,436,World
124,105,Elias Ymer,26,SWE,435,Europe
125,84,Henri Laaksonen,30,SUI,427,Europe
126,8,Jack Sock,29,USA,425,World
127,103,Stefan Kozlov,24,USA,423,World
128, NCH (134),Zizou Bergs,23,BEL,423,Europe
129,85,Carlos Taberner,25,ESP,421,Europe
130,124,Dominic Stricker,20,SUI,419,Europe
131, NCH (133),Christopher Eubanks,26,USA,416,World
132,131,Yibing Wu,22,CHN,416,World
133,29,Jan Lennard Struff,32,GER,413,Europe
134,96,Michael Mmoh,24,USA,413,World
135,124,Jurij Rodionov,23,AUT,404,Europe
